contestId,index,name,type,tags,problem-description,input-specification,output-specification,demo-input,demo-output,note,verdict,code,ai_generated_code
604,A,Uncowed Forces,PROGRAMMING,['implementation'],"Kevin Sun has just finished competing in Codeforces Round #334! The round was 120 minutes long and featured five problems with maximum point values of 500, 1000, 1500, 2000, and 2500, respectively. Despite the challenging tasks, Kevin was uncowed and bulldozed through all of them, distinguishing himself from the herd as the best cowmputer scientist in all of Bovinia. Kevin knows his submission time for each problem, the number of wrong submissions that he made on each problem, and his total numbers of successful and unsuccessful hacks. Because Codeforces scoring is complicated, Kevin wants you to write a program to compute his final score.

Codeforces scores are computed as follows: If the maximum point value of a problem is *x*, and Kevin submitted correctly at minute *m* but made *w* wrong submissions, then his score on that problem is . His total score is equal to the sum of his scores for each problem. In addition, Kevin's total score gets increased by 100 points for each successful hack, but gets decreased by 50 points for each unsuccessful hack.

All arithmetic operations are performed with absolute precision and no rounding. It is guaranteed that Kevin's final score is an integer.","The first line of the input contains five space-separated integers *m*1, *m*2, *m*3, *m*4, *m*5, where *m**i* (0<=≤<=*m**i*<=≤<=119) is the time of Kevin's last submission for problem *i*. His last submission is always correct and gets accepted.

The second line contains five space-separated integers *w*1, *w*2, *w*3, *w*4, *w*5, where *w**i* (0<=≤<=*w**i*<=≤<=10) is Kevin's number of wrong submissions on problem *i*.

The last line contains two space-separated integers *h**s* and *h**u* (0<=≤<=*h**s*,<=*h**u*<=≤<=20), denoting the Kevin's numbers of successful and unsuccessful hacks, respectively.","Print a single integer, the value of Kevin's final score.","['20 40 60 80 100\n0 1 2 3 4\n1 0\n', '119 119 119 119 119\n0 0 0 0 0\n10 0\n']","['4900\n', '4930\n']","In the second sample, Kevin takes 119 minutes on all of the problems. Therefore, he gets <img align=""middle"" class=""tex-formula"" src=""https://espresso.codeforces.com/42158dc2bc78cd21fa679530ae9ef8b9ea298d15.png"" style=""max-width: 100.0%;max-height: 100.0%;""/> of the points on each problem. So his score from solving problems is <img align=""middle"" class=""tex-formula"" src=""https://espresso.codeforces.com/fdf392d8508500b57f8057ac0c4c892ab5f925a2.png"" style=""max-width: 100.0%;max-height: 100.0%;""/>. Adding in 10·100 = 1000 points from hacks, his total score becomes 3930 + 1000 = 4930.",OK,"def score(x,m,w):
    t=(1-(m/250))*x - (50*w)
    return max(0.3*x,t)

sl=[500,1000,1500,2000,2500]
m=list(map(int, input().split()))
w=list(map(int, input().split()))
s,u=map(int,input().split())

res=0

for i in range(5):
    res+=score(sl[i],m[i],w[i])
res+=(100*s)
res-=(50*u)
print(int(res))","def calculate_final_score(submission_times, wrong_submissions, successful_hacks, unsuccessful_hacks):

    max_points = [500, 1000, 1500, 2000, 2500]

    total_score = 0
    for i in range(5):
        m_i = submission_times[i]
        w_i = wrong_submissions[i]

        score = max(0, max_points[i] - 50 * w_i - (m_i // 3))
        total_score += score

    total_score += (successful_hacks * 100) - (unsuccessful_hacks * 50)
    
    return total_score

submission_times = list(map(int, input().split()))
wrong_submissions = list(map(int, input().split()))
successful_hacks, unsuccessful_hacks = map(int, input().split())

final_score = calculate_final_score(submission_times, wrong_submissions, successful_hacks, unsuccessful_hacks)
print(final_score)"
322,B,Ciel and Flowers,PROGRAMMING,"['combinatorics', 'math']","Fox Ciel has some flowers: *r* red flowers, *g* green flowers and *b* blue flowers. She wants to use these flowers to make several bouquets. There are 4 types of bouquets:
 -  To make a ""red bouquet"", it needs 3 red flowers. -  To make a ""green bouquet"", it needs 3 green flowers. -  To make a ""blue bouquet"", it needs 3 blue flowers. -  To make a ""mixing bouquet"", it needs 1 red, 1 green and 1 blue flower. 
Help Fox Ciel to find the maximal number of bouquets she can make.","The first line contains three integers *r*, *g* and *b* (0<=≤<=*r*,<=*g*,<=*b*<=≤<=109) — the number of red, green and blue flowers.",Print the maximal number of bouquets Fox Ciel can make.,"['3 6 9\n', '4 4 4\n', '0 0 0\n']","['6\n', '4\n', '0\n']","In test case 1, we can make 1 red bouquet, 2 green bouquets and 3 blue bouquets.

In test case 2, we can make 1 red, 1 green, 1 blue and 1 mixing bouquet.",OK,"def f(x): return x // 3

r, g, b = map(int, input().split())
m = min(r, g, b)
ans = 0
for i in range(max(0, m - 30), m + 1):
    ans = max(ans, i + f(r - i) + f(g - i) + f(b - i))
print(ans)","def max_bouquets(r, g, b):

    max_bqs = 0

    mix_bouquets = min(r, g, b)
    max_bqs += mix_bouquets

    r -= mix_bouquets
    g -= mix_bouquets
    b -= mix_bouquets

    max_bqs += r // 3
    max_bqs += g // 3
    max_bqs += b // 3

    return max_bqs

import sys
input = sys.stdin.read
data = input().strip().splitlines()

output = []
for line in data:
    r, g, b = map(int, line.split())
    output.append(str(max_bouquets(r, g, b)))

print('\n'.join(output))"
298,A,Snow Footprints,PROGRAMMING,"['greedy', 'implementation']","There is a straight snowy road, divided into *n* blocks. The blocks are numbered from 1 to *n* from left to right. If one moves from the *i*-th block to the (*i*<=+<=1)-th block, he will leave a right footprint on the *i*-th block. Similarly, if one moves from the *i*-th block to the (*i*<=-<=1)-th block, he will leave a left footprint on the *i*-th block. If there already is a footprint on the *i*-th block, the new footprint will cover the old one.

At the beginning, there were no footprints. Then polar bear Alice starts from the *s*-th block, makes a sequence of moves and ends in the *t*-th block. It is known that Alice never moves outside of the road. 

You are given the description of Alice's footprints. Your task is to find a pair of possible values of *s*,<=*t* by looking at the footprints.","The first line of the input contains integer *n* (3<=≤<=*n*<=≤<=1000).

The second line contains the description of the road — the string that consists of *n* characters. Each character will be either ""."" (a block without footprint), or ""L"" (a block with a left footprint), ""R"" (a block with a right footprint).

It's guaranteed that the given string contains at least one character not equal to ""."". Also, the first and the last character will always be ""."". It's guaranteed that a solution exists.",Print two space-separated integers — the values of *s* and *t*. If there are several possible solutions you can print any of them.,"['9\n..RRLL...\n', '11\n.RRRLLLLL..\n']","['3 4\n', '7 5\n']",The first test sample is the one in the picture.,COMPILATION_ERROR,"x , s = int(input()) , input()
first , last  , rr= s.find('R'|'L') , s.rfind('R'|'L') , s.rfind('R') 
if(str[first] == 'R' && str[last] == 'R'):
        print(first +1 , last+1)
elif(str[first] == 'L' && str[last] == 'L'):
        print(last+1 , first+1)
elif(str[first] == 'R' && str[last] == 'L'):
        print(first +1 , rr+1)","def find_start_end_blocks(n, footprints):

    for i in range(n):
        if footprints[i] == 'R':

            s = i + 1

            for j in range(i + 1, n):
                if footprints[j] == 'L':
                    t = j + 1
                    return s, t
    return None

n = int(input().strip())

footprints = input().strip()

s, t = find_start_end_blocks(n, footprints)

print(s, t)"
808,D,Array Division,PROGRAMMING,"['binary search', 'data structures', 'implementation']","Vasya has an array *a* consisting of positive integer numbers. Vasya wants to divide this array into two non-empty consecutive parts (the prefix and the suffix) so that the sum of all elements in the first part equals to the sum of elements in the second part. It is not always possible, so Vasya will move some element before dividing the array (Vasya will erase some element and insert it into an arbitrary position).

Inserting an element in the same position he was erased from is also considered moving.

Can Vasya divide the array after choosing the right element to move and its new position?","The first line contains single integer *n* (1<=≤<=*n*<=≤<=100000) — the size of the array.

The second line contains *n* integers *a*1,<=*a*2... *a**n* (1<=≤<=*a**i*<=≤<=109) — the elements of the array.",Print YES if Vasya can divide the array after moving one element. Otherwise print NO.,"['3\n1 3 2\n', '5\n1 2 3 4 5\n', '5\n2 2 3 4 5\n']","['YES\n', 'NO\n', 'YES\n']","In the first example Vasya can move the second element to the end of the array.

In the second example no move can make the division possible.

In the third example Vasya can move the fourth element by one position to the left.",OK,"n = int(input())
arr = list(map(int, input().split()))
def solve(n, a):
    s = sum(a)
    if n == 1 or s & 1:
        print('NO')
        return
    half = s // 2
    def judge(a):
        pre, st = 0, {0}
        for num in a:
            st.add(num)
            pre += num
            if pre - half in st: return True
        return False
    print('YES' if judge(a) or judge(a[::-1]) else 'NO')

solve(n, arr)","def can_divide_array(n, a):
    total_sum = sum(a)
    left_sum = 0

    seen_sums = set()
    
    for i in range(n - 1):
        left_sum += a[i]

        if (total_sum - a[i]) % 2 == 0:
            target = (total_sum - a[i]) // 2
            if target in seen_sums or target == left_sum:
                return 'YES'
        
        seen_sums.add(left_sum)

    return 'NO'

n = int(input())
a = list(map(int, input().split()))

print(can_divide_array(n, a))"
982,E,Billiard,PROGRAMMING,"['geometry', 'number theory']","Consider a [billiard table](https://en.wikipedia.org/wiki/Billiard_table) of rectangular size $n \times m$ with four pockets. Let's introduce a coordinate system with the origin at the lower left corner (see the picture). 

There is one ball at the point $(x, y)$ currently. Max comes to the table and strikes the ball. The ball starts moving along a line that is parallel to one of the axes or that makes a $45^{\circ}$ angle with them. We will assume that: 
 1.  the angles between the directions of the ball before and after a collision with a side are equal, 1.  the ball moves indefinitely long, it only stops when it falls into a pocket, 1.  the ball can be considered as a point, it falls into a pocket if and only if its coordinates coincide with one of the pockets, 1.  initially the ball is not in a pocket. 
Note that the ball can move along some side, in this case the ball will just fall into the pocket at the end of the side.

Your task is to determine whether the ball will fall into a pocket eventually, and if yes, which of the four pockets it will be.","The only line contains $6$ integers $n$, $m$, $x$, $y$, $v_x$, $v_y$ ($1 \leq n, m \leq 10^9$, $0 \leq x \leq n$; $0 \leq y \leq m$; $-1 \leq v_x, v_y \leq 1$; $(v_x, v_y) \neq (0, 0)$) — the width of the table, the length of the table, the $x$-coordinate of the initial position of the ball, the $y$-coordinate of the initial position of the ball, the $x$-component of its initial speed and the $y$-component of its initial speed, respectively. It is guaranteed that the ball is not initially in a pocket.","Print the coordinates of the pocket the ball will fall into, or $-1$ if the ball will move indefinitely.","['4 3 2 2 -1 1\n', '4 4 2 0 1 1\n', '10 10 10 1 -1 0\n']","['0 0', '-1', '-1']","The first sample: 

The second sample: 

In the third sample the ball will never change its $y$ coordinate, so the ball will never fall into a pocket.",RUNTIME_ERROR,"from sys import argv
from math import trunc

def Billiard_Table(n, m, x, y, vx, vy):
    if vx == 0:
        if vy == 0:
            return -1            
                    
        if x == 0:
            
            if vy > 0:
                return 0, n
            
            elif vy < 0:
                return 0, 0
            
        elif x == m:
            
            if vy > 0:
                return m, 0
            
            elif vy < 0:
                return m, n
        else: 
            return -1
            
    if vy == 0:
        if y == 0:
            
            if vx > 0:
                return m, 0
            
            elif vx < 0:
                return 0, 0
            
        elif y == n:
            
            if vx > 0:
                return m, n
            
            elif vx < 0:
                return 0, n
            
        else:
            return -1

    p = vy/vx
    r = y - p * x

    d, k1_0, k2_0 = GCD_Euclidean_Algorithm(m, abs(-n * p))

    if r % d != 0:
        return -1

    k1_0 = k1_0 * r / d 
    k2_0 = k2_0 * r / d

    t_lb1, t_lb2 = -2**10, -2**10
    t_ub1, t_ub2 = 2**10, 2**10  

    if vx > 0:
        t_ub1 = (k2_0 / m) * d
    else:
        t_lb1 = ((k2_0 - 1) / m) * d

    if vy > 0:
        t_ub2 = (k1_0 / (n * p)) * d
    else:
        t_lb2 = ((k1_0 - 1) / (n * p)) * d
        
    t = 0    

    if vx == vy:
        if vy > 0: 
            t = min(trunc(t_ub2), trunc(t_ub1))
            
        else:
            t = max(trunc(t_lb1), trunc(t_lb2))
                    
        holder  = t
        k2 = 0
        notdone = True
            
        while(notdone):
            k2 = k2_0 - (m/d) * t
                
            if (abs(k2) > (abs(k2_0 - (m/d) * holder))):
                notdone = False
                t = holder
            else:
                holder = t
                t = t - 1
                
    else:
        t_lb1 = max(trunc(t_lb1), trunc(t_lb2))
        t_ub1 = min(trunc(t_ub2), trunc(t_ub1))
        
        for i in range(0, (t_ub1 + 1 - t_lb1) // 2):
            k2_1 = k2_0 - (m/d) * (t_lb1 + i)
            k2_2 = k2_0 - (m/d) * (t_ub1 + 1 - i)

            if abs(k2_1) < abs(holder):
                holder = k2_1
                t = t_lb1 + i
            elif abs(k2_2) < abs(holder):
                holder = k2_2
                t = t_ub1 + 1 - i   
        k2 = k2 = k2_0 - (m/d) * t

    k1 = k1_0 - (n* p * t) / d

    return (k2 % 2) * m, (k1 % 2) * n    
    
    
def GCD_Euclidean_Algorithm(a, b):
    if b > a:
        temp = a
        a = b
        b = temp
    
    r = a % b   
    if r == 0:
        return b, 1, 0
    
    d, x_1, y_1 = GCD_Euclidean_Algorithm(b, a % b)

    x = y_1 - (x_1 * trunc(a/b))
    y = x_1
    
    return d, x, y

def main():
    _, n, m, x, y, vx, vy = argv
    print(Billiard_Table(int(n), int(m), int(x), int(y), int(vx), int(vy)))
    
main()","def find_pocket(n, m, x, y, v_x, v_y):

    if v_x > 0:
        time_to_vertical_wall = (n - x) / v_x
    elif v_x < 0:
        time_to_vertical_wall = x / abs(v_x)
    else:
        time_to_vertical_wall = float('inf')

    if v_y > 0:
        time_to_horizontal_wall = (m - y) / v_y
    elif v_y < 0:
        time_to_horizontal_wall = y / abs(v_y)
    else:
        time_to_horizontal_wall = float('inf')

    t = min(time_to_vertical_wall, time_to_horizontal_wall)

    new_x = x + v_x * t
    new_y = y + v_y * t

    if t == time_to_vertical_wall:
        if v_x > 0:
            new_x = n
        else:
            new_x = 0

        new_y += v_y * time_to_vertical_wall
        if new_y < 0 or new_y > m:
            return -1
    else:
        if v_y > 0:
            new_y = m
        else:
            new_y = 0

        new_x += v_x * time_to_horizontal_wall
        if new_x < 0 or new_x > n:
            return -1

    if new_x == 0 and new_y == 0:
        return (0, 0)
    elif new_x == n and new_y == 0:
        return (n, 0)
    elif new_x == 0 and new_y == m:
        return (0, m)
    elif new_x == n and new_y == m:
        return (n, m)

    return -1

import sys
input_data = sys.stdin.read().strip().splitlines()

results = []
for line in input_data:
    n, m, x, y, v_x, v_y = map(int, line.split())
    pocket = find_pocket(n, m, x, y, v_x, v_y)
    if pocket == -1:
        results.append(""-1"")
    else:
        results.append(f""{pocket[0]} {pocket[1]}"")

print(""\n"".join(results))"
733,D,Kostya the Sculptor,PROGRAMMING,"['data structures', 'hashing']","Kostya is a genial sculptor, he has an idea: to carve a marble sculpture in the shape of a sphere. Kostya has a friend Zahar who works at a career. Zahar knows about Kostya's idea and wants to present him a rectangular parallelepiped of marble from which he can carve the sphere. 

Zahar has *n* stones which are rectangular parallelepipeds. The edges sizes of the *i*-th of them are *a**i*, *b**i* and *c**i*. He can take no more than two stones and present them to Kostya. 

If Zahar takes two stones, he should glue them together on one of the faces in order to get a new piece of rectangular parallelepiped of marble. Thus, it is possible to glue a pair of stones together if and only if two faces on which they are glued together match as rectangles. In such gluing it is allowed to rotate and flip the stones in any way. 

Help Zahar choose such a present so that Kostya can carve a sphere of the maximum possible volume and present it to Zahar.","The first line contains the integer *n* (1<=≤<=*n*<=≤<=105).

*n* lines follow, in the *i*-th of which there are three integers *a**i*,<=*b**i* and *c**i* (1<=≤<=*a**i*,<=*b**i*,<=*c**i*<=≤<=109) — the lengths of edges of the *i*-th stone. Note, that two stones may have exactly the same sizes, but they still will be considered two different stones.","In the first line print *k* (1<=≤<=*k*<=≤<=2) the number of stones which Zahar has chosen. In the second line print *k* distinct integers from 1 to *n* — the numbers of stones which Zahar needs to choose. Consider that stones are numbered from 1 to *n* in the order as they are given in the input data.

You can print the stones in arbitrary order. If there are several answers print any of them.","['6\n5 5 5\n3 2 4\n1 4 1\n2 1 3\n3 2 4\n3 3 4\n', '7\n10 7 8\n5 10 3\n4 2 6\n5 5 5\n10 2 8\n4 2 1\n7 7 7\n']","['1\n1\n', '2\n1 5\n']","In the first example we can connect the pairs of stones:
 -  2 and 4, the size of the parallelepiped: 3 × 2 × 5, the radius of the inscribed sphere 1 -  2 and 5, the size of the parallelepiped: 3 × 2 × 8 or 6 × 2 × 4 or 3 × 4 × 4, the radius of the inscribed sphere 1, or 1, or 1.5 respectively. -  2 and 6, the size of the parallelepiped: 3 × 5 × 4, the radius of the inscribed sphere 1.5 -  4 and 5, the size of the parallelepiped: 3 × 2 × 5, the radius of the inscribed sphere 1 -  5 and 6, the size of the parallelepiped: 3 × 4 × 5, the radius of the inscribed sphere 1.5 
Or take only one stone:
 -  1 the size of the parallelepiped: 5 × 5 × 5, the radius of the inscribed sphere 2.5 -  2 the size of the parallelepiped: 3 × 2 × 4, the radius of the inscribed sphere 1 -  3 the size of the parallelepiped: 1 × 4 × 1, the radius of the inscribed sphere 0.5 -  4 the size of the parallelepiped: 2 × 1 × 3, the radius of the inscribed sphere 0.5 -  5 the size of the parallelepiped: 3 × 2 × 4, the radius of the inscribed sphere 1 -  6 the size of the parallelepiped: 3 × 3 × 4, the radius of the inscribed sphere 1.5 
It is most profitable to take only the first stone.",RUNTIME_ERROR,"class HashTable:
    def __init__(self, depth=2, module=1453):
        self.depth = depth
        self.module = module
        self.table = []

    def add(self, seq):
        ref = self.table
        for i in range(self.depth-1):
            if len(ref) == 0:
                ref.extend([[] for i in range(self.module)])
            box = seq[i] % self.module
            ref = ref[box]

        box = seq[self.depth-1] % self.module
        if len(ref) == 0:
            ref.extend([[] for i in range(self.module)])
        ref[box].append(seq)

    def look_up(self, seq):
        ref = self.table
        depth = 0
        while depth < self.depth and len(ref) > 0:
            box = seq[depth] % self.module
            ref = ref[box]
            depth += 1

        if depth < self.depth or len(ref) == 0:
            return None

        max_z_value = 0
        best = None
        d = 0

        for cand in ref:
            while d < self.depth and cand[d] == seq[d]:
                d += 1
            if d < self.depth:
                break
            if max_z_value < cand[d]:
                max_z_value = cand[d]
                best = cand                

        return best

if __name__ == '__main__':

    hash_table = HashTable()

    input_file = open('input.txt', ""r"")

    n = int(input())
    max_radius = 0
    ordinal_numbers = [0]

    for i in range(1, n+1):

        seq = sorted(list(map(int, input().split())),
                     reverse=True) + [i]
        best = hash_table.look_up(seq)

        if best is not None:
            seq[2] += best[2]
            radius = min(seq[:-1])
            if  radius > max_radius:
                ordinal_numbers = [best[3], seq[3]]
                max_radius = radius
        else:
            if seq[2] > max_radius:
                ordinal_numbers = [seq[3]]
                max_radius = seq[2]
        
        hash_table.add(seq)

    print(len(ordinal_numbers), file=output_file)
    print("" "".join(map(str, ordinal_numbers)), file=output_file)","def radius_of_inscribed_sphere(a, b, c):

    return min(a, b, c) / 2

def can_glue(s1, s2):

    return (s1[0] == s2[0] and s1[1] == s2[1]) or \
           (s1[0] == s2[1] and s1[1] == s2[0]) or \
           (s1[0] == s2[0] and s1[2] == s2[2]) or \
           (s1[0] == s2[2] and s1[2] == s2[0]) or \
           (s1[1] == s2[1] and s1[2] == s2[2]) or \
           (s1[1] == s2[2] and s1[2] == s2[1])

def main():
    import sys
    input = sys.stdin.read
    data = input().strip().split('\n')
    
    n = int(data[0])
    stones = []
    
    for i in range(1, n + 1):
        a, b, c = map(int, data[i].split())
        stones.append(sorted([a, b, c]))
    
    best_radius = 0
    best_choice = (0, [])

    for i in range(n):
        r = radius_of_inscribed_sphere(*stones[i])
        if r > best_radius:
            best_radius = r
            best_choice = (1, [i + 1])

    for i in range(n):
        for j in range(i + 1, n):
            if can_glue(stones[i], stones[j]):
                combined_a = max(stones[i][0], stones[j][0])
                combined_b = max(stones[i][1], stones[j][1])
                combined_c = stones[i][2] + stones[j][2]
                r = radius_of_inscribed_sphere(combined_a, combined_b, combined_c)
                
                if r > best_radius:
                    best_radius = r
                    best_choice = (2, [i + 1, j + 1])

    print(best_choice[0])
    print(' '.join(map(str, best_choice[1])))

if __name__ == ""__main__"":
    main()"
50,A,Domino piling,PROGRAMMING,"['greedy', 'math']","You are given a rectangular board of *M*<=×<=*N* squares. Also you are given an unlimited number of standard domino pieces of 2<=×<=1 squares. You are allowed to rotate the pieces. You are asked to place as many dominoes as possible on the board so as to meet the following conditions:

1. Each domino completely covers two squares.

2. No two dominoes overlap.

3. Each domino lies entirely inside the board. It is allowed to touch the edges of the board.

Find the maximum number of dominoes, which can be placed under these restrictions.",In a single line you are given two integers *M* and *N* — board sizes in squares (1<=≤<=*M*<=≤<=*N*<=≤<=16).,"Output one number — the maximal number of dominoes, which can be placed.","['2 4\n', '3 3\n']","['4\n', '4\n']",none,OK,"m, n = list(map(int,input().split("" "")))
print(m*n//2)","def max_dominoes(m, n):

    total_squares = m * n

    return total_squares // 2

def main():
    import sys
    input_data = sys.stdin.read().strip().splitlines()
    
    for line in input_data:
        if line:

            m, n = map(int, line.split())

            result = max_dominoes(m, n)

            print(result)

if __name__ == ""__main__"":
    main()"
219,C,Color Stripe,PROGRAMMING,"['brute force', 'dp', 'greedy']","A colored stripe is represented by a horizontal row of *n* square cells, each cell is pained one of *k* colors. Your task is to repaint the minimum number of cells so that no two neighbouring cells are of the same color. You can use any color from 1 to *k* to repaint the cells.","The first input line contains two integers *n* and *k* (1<=≤<=*n*<=≤<=5·105; 2<=≤<=*k*<=≤<=26). The second line contains *n* uppercase English letters. Letter ""A"" stands for the first color, letter ""B"" stands for the second color and so on. The first *k* English letters may be used. Each letter represents the color of the corresponding cell of the stripe.",Print a single integer — the required minimum number of repaintings. In the second line print any possible variant of the repainted stripe.,"['6 3\nABBACC\n', '3 2\nBBB\n']","['2\nABCACA\n', '1\nBAB\n']",none,OK,"n, k = map(int, input().split())

s = list(input())

if k > 2:
    c = set(ord(""A"") + i for i in range(26))
    r = 0
    for i in range(1,len(s)):
        if s[i-1] == s[i]:
            r += 1
            if i + 1 < n:
                s[i] = ""A"" if ""A"" not in {s[i-1], s[i+1]} else ('B' if ""B"" not in {s[i], s[i+1]} else ""C"")
            else:
                s[i] = ""A"" if s[i-1] != ""A"" else ""B""
    
    print(r)
    print("""".join(s))

else:
    x, y = ""AB"" * n, ""BA"" * n
    def check(x, y):
        return sum(x[i] != y[i] for i in range(n))
    check_1 = check(x, s)
    check_2 = check(y, s)
    z = [x,y][check_1 > check_2]
    print(min(check_1, check_2))
    print(z[:n])","def min_repaints(n, k, stripe):

    stripe = list(stripe)

    repaints = 0

    for i in range(1, n):

        if stripe[i] == stripe[i - 1]:
            repaints += 1

            for color in range(ord('A'), ord('A') + k):
                new_color = chr(color)
                if i + 1 < n and new_color == stripe[i + 1]:
                    continue
                stripe[i] = new_color
                break

    repainted_stripe = ''.join(stripe)
    
    return repaints, repainted_stripe

input_data = ['6 3\nABBACC\n', '3 2\nBBB\n']
for data in input_data:
    n, k = map(int, data.split()[0:2])
    stripe = data.split()[1]

    repaints, new_stripe = min_repaints(n, k, stripe)

    print(repaints)
    print(new_stripe)"
337,A,Puzzles,PROGRAMMING,['greedy'],"The end of the school year is near and Ms. Manana, the teacher, will soon have to say goodbye to a yet another class. She decided to prepare a goodbye present for her *n* students and give each of them a jigsaw puzzle (which, as wikipedia states, is a tiling puzzle that requires the assembly of numerous small, often oddly shaped, interlocking and tessellating pieces).

The shop assistant told the teacher that there are *m* puzzles in the shop, but they might differ in difficulty and size. Specifically, the first jigsaw puzzle consists of *f*1 pieces, the second one consists of *f*2 pieces and so on.

Ms. Manana doesn't want to upset the children, so she decided that the difference between the numbers of pieces in her presents must be as small as possible. Let *A* be the number of pieces in the largest puzzle that the teacher buys and *B* be the number of pieces in the smallest such puzzle. She wants to choose such *n* puzzles that *A*<=-<=*B* is minimum possible. Help the teacher and find the least possible value of *A*<=-<=*B*.","The first line contains space-separated integers *n* and *m* (2<=≤<=*n*<=≤<=*m*<=≤<=50). The second line contains *m* space-separated integers *f*1,<=*f*2,<=...,<=*f**m* (4<=≤<=*f**i*<=≤<=1000) — the quantities of pieces in the puzzles sold in the shop.",Print a single integer — the least possible difference the teacher can obtain.,['4 6\n10 12 10 7 5 22\n'],['5\n'],"Sample 1. The class has 4 students. The shop sells 6 puzzles. If Ms. Manana buys the first four puzzles consisting of 10, 12, 10 and 7 pieces correspondingly, then the difference between the sizes of the largest and the smallest puzzle will be equal to 5. It is impossible to obtain a smaller difference. Note that the teacher can also buy puzzles 1, 3, 4 and 5 to obtain the difference 5.",WRONG_ANSWER,"def quickSort(a: list):
    if len(a) <= 1:
        return a
    pivot = a[len(a)//2]
    left = [i for i in a if i < pivot]
    middle = [i for i in a if i == pivot]
    right = [i for i in a if i > pivot]
    return quickSort(left) + middle + quickSort(right)

n, m = [int(i) for i in input().split()]
a = [int(i) for i in input().split()]
a = quickSort(a)

res = a[n - 1] - a[0]

for i in range(n, m):
    res = min(res, a[i - 1] - a[i - n])

print(res)","n, m = map(int, input().split())

puzzles = list(map(int, input().split()))

min_difference = float('inf')

for i in range(m - n + 1):

    current_difference = puzzles[i + n - 1] - puzzles[i]

    if current_difference < min_difference:
        min_difference = current_difference

print(min_difference)"
660,D,Number of Parallelograms,PROGRAMMING,['geometry'],You are given *n* points on a plane. All the points are distinct and no three of them lie on the same line. Find the number of parallelograms with the vertices at the given points.,"The first line of the input contains integer *n* (1<=≤<=*n*<=≤<=2000) — the number of points.

Each of the next *n* lines contains two integers (*x**i*,<=*y**i*) (0<=≤<=*x**i*,<=*y**i*<=≤<=109) — the coordinates of the *i*-th point.",Print the only integer *c* — the number of parallelograms with the vertices at the given points.,['4\n0 1\n1 0\n1 1\n2 0\n'],['1\n'],none,TIME_LIMIT_EXCEEDED,"p = set()

def find(p1,p2,p3):
    np1 = (
        p1[0] + (p2[0]-p3[0]),
        p1[1] + (p2[1]-p3[1])
    )
    if np1 in p: return 1
    np2 = (
        p1[0] + (p3[0]-p2[0]),
        p1[1] + (p3[1]-p2[1])
    )
    if np2 in p: return 1
    np3 = (
        p3[0] + (p2[0]-p1[0]),
        p3[1] + (p2[1]-p1[1])
    )
    if np3 in p: return 1
    return 0 

points = []
for i in range(int(input())):
    x,y  = map(int, input().split())
    p.add((x,y))
    points.append((x,y))

r = 0
for j in range(len(points)):
    for k in range(j+1,len(points)):
        for l in range(k+1,len(points)):

            if find(points[j],points[k],points[l]):
                r = r + 1

print(r//4)","def count_parallelograms(points):
    point_set = set(points)
    count = 0

    for i in range(len(points)):
        for j in range(i + 1, len(points)):
            x1, y1 = points[i]
            x2, y2 = points[j]

            mx = (x1 + x2) / 2
            my = (y1 + y2) / 2

            p1 = (mx + (y1 - y2) / 2, my - (x1 - x2) / 2)
            p2 = (mx - (y1 - y2) / 2, my + (x1 - x2) / 2)

            if p1 in point_set and p2 in point_set:
                count += 1

    return count // 2

import sys

n = int(sys.stdin.readline().strip())
points = [tuple(map(int, sys.stdin.readline().strip().split())) for _ in range(n)]

result = count_parallelograms(points)
print(result)"
